Dates,Price
2019/11/6 09:30,20.25
2019/11/6 09:31,20.2
2019/11/6 09:32,20.15
2019/11/6 09:33,20.15
2019/11/6 09:34,20.2
2019/11/6 09:35,20.2
2019/11/6 09:36,20.2
2019/11/6 09:37,20.2
2019/11/6 09:38,20.2
2019/11/6 09:39,20.15
2019/11/6 09:40,20.15
2019/11/6 09:41,20.1
2019/11/6 09:42,20.1
2019/11/6 09:43,20.15
2019/11/6 09:44,20.2
2019/11/6 09:45,20.3
2019/11/6 09:46,20.3
2019/11/6 09:47,20.3
2019/11/6 09:48,20.3
2019/11/6 09:49,20.3
2019/11/6 09:50,20.3
2019/11/6 09:51,20.3
2019/11/6 09:52,20.3
2019/11/6 09:53,20.3
2019/11/6 09:54,20.3
2019/11/6 09:55,20.25
2019/11/6 09:56,20.25
2019/11/6 09:57,20.25
2019/11/6 09:58,20.25
2019/11/6 09:59,20.25
2019/11/6 10:00,20.2
2019/11/6 10:01,20.25
2019/11/6 10:02,20.25
2019/11/6 10:03,20.25
2019/11/6 10:04,20.25
2019/11/6 10:05,20.25
2019/11/6 10:06,20.25
2019/11/6 10:07,20.25
2019/11/6 10:08,20.3
2019/11/6 10:09,20.25
2019/11/6 10:10,20.25
2019/11/6 10:11,20.25
2019/11/6 10:12,20.25
2019/11/6 10:13,20.2
2019/11/6 10:14,20.2
2019/11/6 10:15,20.25
2019/11/6 10:16,20.25
2019/11/6 10:17,20.3
2019/11/6 10:18,20.3
2019/11/6 10:19,20.3
2019/11/6 10:20,20.3
2019/11/6 10:21,20.15
2019/11/6 10:22,20.15
2019/11/6 10:23,20.15
2019/11/6 10:24,20.15
2019/11/6 10:25,20.15
2019/11/6 10:26,20.2
2019/11/6 10:27,20.2
2019/11/6 10:28,20.2
2019/11/6 10:29,20.15
2019/11/6 10:30,20.15
2019/11/6 10:31,20.15
2019/11/6 10:32,20.1
2019/11/6 10:33,20.15
2019/11/6 10:34,20.15
2019/11/6 10:35,20.15
2019/11/6 10:36,20.15
2019/11/6 10:37,20.1
2019/11/6 10:38,20.1
2019/11/6 10:39,20.15
2019/11/6 10:40,20.15
2019/11/6 10:41,20.15
2019/11/6 10:42,20.15
2019/11/6 10:43,20.2
2019/11/6 10:44,20.15
2019/11/6 10:45,20.2
2019/11/6 10:46,20.2
2019/11/6 10:47,20.2
2019/11/6 10:48,20.15
2019/11/6 10:49,20.15
2019/11/6 10:50,20.1
2019/11/6 10:51,20.15
2019/11/6 10:52,20.1
2019/11/6 10:53,20.1
2019/11/6 10:54,20.05
2019/11/6 10:55,20.05
2019/11/6 10:56,20.15
2019/11/6 10:57,20.15
2019/11/6 10:58,20.1
2019/11/6 10:59,20.1
2019/11/6 11:00,20.15
2019/11/6 11:01,20.15
2019/11/6 11:02,20.1
2019/11/6 11:03,20.15
2019/11/6 11:04,20.1
2019/11/6 11:05,20.1
2019/11/6 11:06,20.1
2019/11/6 11:07,20.15
2019/11/6 11:08,20.2
2019/11/6 11:09,20.2
2019/11/6 11:10,20.15
2019/11/6 11:11,20.15
2019/11/6 11:12,20.15
2019/11/6 11:13,20.15
2019/11/6 11:14,20.15
2019/11/6 11:15,20.15
2019/11/6 11:16,20.15
2019/11/6 11:17,20.15
2019/11/6 11:18,20.15
2019/11/6 11:19,20.15
2019/11/6 11:20,20.15
2019/11/6 11:21,20.15
2019/11/6 11:22,20.15
2019/11/6 11:23,20.15
2019/11/6 11:24,20.2
2019/11/6 11:25,20.15
2019/11/6 11:26,20.15
2019/11/6 11:27,20.2
2019/11/6 11:28,20.15
2019/11/6 11:29,20.15
2019/11/6 11:30,20.15
2019/11/6 11:31,20.2
2019/11/6 11:32,20.15
2019/11/6 11:33,20.15
2019/11/6 11:34,20.15
2019/11/6 11:35,20.2
2019/11/6 11:36,20.2
2019/11/6 11:37,20.2
2019/11/6 11:38,20.1
2019/11/6 11:39,20.15
2019/11/6 11:40,20.1
2019/11/6 11:41,20.1
2019/11/6 11:42,20.1
2019/11/6 11:43,20.1
2019/11/6 11:44,20.1
2019/11/6 11:45,20.15
2019/11/6 11:46,20.1
2019/11/6 11:47,20.1
2019/11/6 11:48,20.1
2019/11/6 11:49,20.15
2019/11/6 11:50,20.15
2019/11/6 11:51,20.1
2019/11/6 11:52,20.05
2019/11/6 11:53,20.05
2019/11/6 11:54,20.05
2019/11/6 11:55,20.1
2019/11/6 11:56,20.1
2019/11/6 11:57,20.15
2019/11/6 11:58,20.15
2019/11/6 11:59,20.15
2019/11/6 13:00,20.1
2019/11/6 13:01,20.1
2019/11/6 13:02,20.1
2019/11/6 13:03,20.05
2019/11/6 13:04,20.05
2019/11/6 13:05,20.05
2019/11/6 13:06,20.05
2019/11/6 13:07,20.1
2019/11/6 13:08,20.1
2019/11/6 13:09,20.05
2019/11/6 13:10,20.05
2019/11/6 13:11,20.05
2019/11/6 13:12,20.1
2019/11/6 13:13,20.1
2019/11/6 13:14,20.05
2019/11/6 13:15,20.1
2019/11/6 13:16,20.1
2019/11/6 13:17,20.1
2019/11/6 13:18,20.1
2019/11/6 13:19,20.1
2019/11/6 13:20,20.15
2019/11/6 13:21,20.15
2019/11/6 13:22,20.15
2019/11/6 13:23,20.15
2019/11/6 13:24,20.15
2019/11/6 13:25,20.1
2019/11/6 13:26,20.15
2019/11/6 13:27,20.15
2019/11/6 13:28,20.15
2019/11/6 13:29,20.1
2019/11/6 13:30,20.1
2019/11/6 13:31,20.1
2019/11/6 13:32,20.1
2019/11/6 13:33,20.15
2019/11/6 13:34,20.15
2019/11/6 13:35,20.15
2019/11/6 13:36,20.1
2019/11/6 13:37,20.1
2019/11/6 13:38,20.1
2019/11/6 13:39,20.1
2019/11/6 13:40,20.15
2019/11/6 13:41,20.15
2019/11/6 13:42,20.15
2019/11/6 13:43,20.1
2019/11/6 13:44,20.1
2019/11/6 13:45,20.15
2019/11/6 13:46,20.15
2019/11/6 13:47,20.1
2019/11/6 13:48,20.1
2019/11/6 13:49,20.15
2019/11/6 13:50,20.15
2019/11/6 13:51,20.15
2019/11/6 13:52,20.15
2019/11/6 13:53,20.15
2019/11/6 13:54,20.15
2019/11/6 13:55,20.1
2019/11/6 13:56,20.15
2019/11/6 13:57,20.15
2019/11/6 13:58,20.15
2019/11/6 13:59,20.15
2019/11/6 14:00,20.15
2019/11/6 14:01,20.15
2019/11/6 14:02,20.15
2019/11/6 14:03,20.15
2019/11/6 14:04,20.15
2019/11/6 14:05,20.15
2019/11/6 14:06,20.15
2019/11/6 14:07,20.15
2019/11/6 14:08,20.15
2019/11/6 14:09,20.15
2019/11/6 14:10,20.15
2019/11/6 14:11,20.15
2019/11/6 14:12,20.1
2019/11/6 14:13,20.1
2019/11/6 14:14,20.15
2019/11/6 14:15,20.1
2019/11/6 14:16,20.1
2019/11/6 14:17,20.15
2019/11/6 14:18,20.1
2019/11/6 14:19,20.1
2019/11/6 14:20,20.1
2019/11/6 14:21,20.1
2019/11/6 14:22,20.1
2019/11/6 14:23,20.1
2019/11/6 14:24,20.1
2019/11/6 14:25,20.1
2019/11/6 14:26,20.1
2019/11/6 14:27,20.1
2019/11/6 14:28,20.1
2019/11/6 14:29,20.05
2019/11/6 14:30,20.1
2019/11/6 14:31,20.05
2019/11/6 14:32,20.05
2019/11/6 14:33,20.05
2019/11/6 14:34,20.1
2019/11/6 14:35,20.05
2019/11/6 14:36,20.05
2019/11/6 14:37,20.05
2019/11/6 14:38,20.05
2019/11/6 14:39,20.1
2019/11/6 14:40,20.05
2019/11/6 14:41,20.05
2019/11/6 14:42,20.1
2019/11/6 14:43,20.1
2019/11/6 14:44,20.05
2019/11/6 14:45,20.1
2019/11/6 14:46,20.05
2019/11/6 14:47,20.1
2019/11/6 14:48,20.1
2019/11/6 14:49,20.1
2019/11/6 14:50,20.05
2019/11/6 14:51,20.1
2019/11/6 14:52,20.1
2019/11/6 14:53,20
2019/11/6 14:54,20
2019/11/6 14:55,20
2019/11/6 14:56,20.05
2019/11/6 14:57,20.05
2019/11/6 14:58,20
2019/11/6 14:59,20
2019/11/6 15:00,20
2019/11/6 15:01,20.05
2019/11/6 15:02,19.96
2019/11/6 15:03,19.98
2019/11/6 15:04,19.94
2019/11/6 15:05,19.96
2019/11/6 15:06,19.94
2019/11/6 15:07,19.94
2019/11/6 15:08,19.94
2019/11/6 15:09,19.94
2019/11/6 15:10,19.92
2019/11/6 15:11,19.94
2019/11/6 15:12,19.94
2019/11/6 15:13,19.94
2019/11/6 15:14,19.94
2019/11/6 15:15,19.94
2019/11/6 15:16,19.94
2019/11/6 15:17,19.92
2019/11/6 15:18,19.9
2019/11/6 15:19,19.94
2019/11/6 15:20,19.94
2019/11/6 15:21,19.94
2019/11/6 15:22,19.94
2019/11/6 15:23,19.94
2019/11/6 15:24,19.92
2019/11/6 15:25,19.92
2019/11/6 15:26,19.92
2019/11/6 15:27,19.92
2019/11/6 15:28,19.92
2019/11/6 15:29,19.94
2019/11/6 15:30,19.94
2019/11/6 15:31,19.92
2019/11/6 15:32,19.98
2019/11/6 15:33,19.98
2019/11/6 15:34,19.98
2019/11/6 15:35,19.96
2019/11/6 15:36,19.96
2019/11/6 15:37,19.96
2019/11/6 15:38,19.96
2019/11/6 15:39,19.98
2019/11/6 15:40,19.98
2019/11/6 15:41,19.98
2019/11/6 15:42,19.98
2019/11/6 15:43,19.98
2019/11/6 15:44,20
2019/11/6 15:45,20
2019/11/6 15:46,20
2019/11/6 15:47,20.05
2019/11/6 15:48,20.05
2019/11/6 15:49,20
2019/11/6 15:50,20
2019/11/6 15:51,20
2019/11/6 15:52,20
2019/11/6 15:53,20.05
2019/11/6 15:54,20.05
2019/11/6 15:55,20.05
2019/11/6 15:56,20.05
2019/11/6 15:57,20.05
2019/11/6 15:58,20.05
2019/11/6 15:59,20.1
2019/11/6 16:00,20.1
